天気,てんき,1stGrade88.jpg,1stGrade88.mp3,88
入る,はいる,1stGrade89.jpg,1stGrade89.mp3,89
百さい,ひゃくさい,1stGrade90.jpg,1stGrade90.mp3,90
お年より,おとしより,1stGrade91.jpg,1stGrade91.mp3,91
文しょう,ぶんしょう,1stGrade92.jpg,1stGrade92.mp3,92
名まえ,なまえ,1stGrade93.jpg,1stGrade93.mp3,93
立ち上がる,たちあがる,1stGrade94.jpg,1stGrade94.mp3,94
力,ちから,1stGrade95.jpg,1stGrade95.mp3,95
入れる,いれる,1stGrade96.jpg,1stGrade96.mp3,96
林,はやし,1stGrade97.jpg,1stGrade97.mp3,97
一年,いちねん,1stGrade98.jpg,1stGrade98.mp3,98
